n_hid 128, n_noise 50
step 15800, train batch D loss 0.696877, G loss 2.278750
step 15900, train batch D loss 0.606313, G loss 2.262110
step 16000, train batch D loss 0.577448, G loss 2.650496
step 16100, train batch D loss 0.657904, G loss 2.024059
step 16200, train batch D loss 0.737791, G loss 1.998750
step 16300, train batch D loss 0.657452, G loss 2.258320
step 16400, train batch D loss 0.602449, G loss 2.147228
step 16500, train batch D loss 0.686985, G loss 1.857440
step 16600, train batch D loss 0.731253, G loss 1.926379
step 16700, train batch D loss 0.677657, G loss 2.140599
step 16800, train batch D loss 0.712475, G loss 2.064252
step 16900, train batch D loss 0.523867, G loss 2.502209
step 17000, train batch D loss 0.458032, G loss 2.351058
step 17100, train batch D loss 0.582694, G loss 2.101148
step 17200, train batch D loss 0.691446, G loss 2.167642
step 17300, train batch D loss 0.515065, G loss 2.246315
step 17400, train batch D loss 0.467349, G loss 2.339630
step 17500, train batch D loss 0.760550, G loss 2.015898
step 17600, train batch D loss 0.650609, G loss 2.119602
step 17700, train batch D loss 0.702193, G loss 2.042000
step 17800, train batch D loss 0.632563, G loss 2.064139
step 17900, train batch D loss 0.680723, G loss 2.329481
step 18000, train batch D loss 0.674771, G loss 2.249396
step 18100, train batch D loss 0.606877, G loss 2.113768
step 18200, train batch D loss 0.680193, G loss 2.128978
step 18300, train batch D loss 0.549423, G loss 2.552211
step 18400, train batch D loss 0.619673, G loss 2.120898
step 18500, train batch D loss 0.662695, G loss 2.110472
step 18600, train batch D loss 0.608108, G loss 2.261244
step 18700, train batch D loss 0.665709, G loss 1.937629
step 18800, train batch D loss 0.743560, G loss 2.296476
step 18900, train batch D loss 0.581409, G loss 2.478703
step 19000, train batch D loss 0.841966, G loss 1.813333
step 19100, train batch D loss 0.642799, G loss 2.317914
step 19200, train batch D loss 0.638011, G loss 2.154622
step 19300, train batch D loss 0.759418, G loss 2.131102
step 19400, train batch D loss 0.760109, G loss 1.859499
step 19500, train batch D loss 0.716381, G loss 2.073243
step 19600, train batch D loss 0.755579, G loss 2.135832
step 19700, train batch D loss 0.703005, G loss 1.749874
step 19800, train batch D loss 0.768136, G loss 2.223620
step 19900, train batch D loss 0.689885, G loss 1.884494
step 20000, train batch D loss 0.541800, G loss 2.330452
