loading preprocessed files
0/8920 (epoch 0), train_loss = 4.181, time/batch = 0.115
93/8920 (epoch 0), train_loss = 2.572, time/batch = 0.070
94/8920 (epoch 0), train_loss = 2.639, time/batch = 0.071
95/8920 (epoch 0), train_loss = 2.601, time/batch = 0.072
96/8920 (epoch 0), train_loss = 2.637, time/batch = 0.070
97/8920 (epoch 0), train_loss = 2.564, time/batch = 0.070
98/8920 (epoch 0), train_loss = 2.588, time/batch = 0.073
99/8920 (epoch 0), train_loss = 2.593, time/batch = 0.075
100/8920 (epoch 0), train_loss = 2.567, time/batch = 0.071
101/8920 (epoch 0), train_loss = 2.541, time/batch = 0.071
102/8920 (epoch 0), train_loss = 2.586, time/batch = 0.070
103/8920 (epoch 0), train_loss = 2.533, time/batch = 0.070
104/8920 (epoch 0), train_loss = 2.506, time/batch = 0.069
105/8920 (epoch 0), train_loss = 2.504, time/batch = 0.072
106/8920 (epoch 0), train_loss = 2.517, time/batch = 0.071
107/8920 (epoch 0), train_loss = 2.519, time/batch = 0.080
108/8920 (epoch 0), train_loss = 2.497, time/batch = 0.072
109/8920 (epoch 0), train_loss = 2.492, time/batch = 0.071
110/8920 (epoch 0), train_loss = 2.468, time/batch = 0.070
111/8920 (epoch 0), train_loss = 2.519, time/batch = 0.072
112/8920 (epoch 0), train_loss = 2.522, time/batch = 0.074
113/8920 (epoch 0), train_loss = 2.476, time/batch = 0.070
114/8920 (epoch 0), train_loss = 2.497, time/batch = 0.072
115/8920 (epoch 0), train_loss = 2.489, time/batch = 0.071
116/8920 (epoch 0), train_loss = 2.491, time/batch = 0.076
117/8920 (epoch 0), train_loss = 2.485, time/batch = 0.071
118/8920 (epoch 0), train_loss = 2.443, time/batch = 0.069
119/8920 (epoch 0), train_loss = 2.432, time/batch = 0.072
120/8920 (epoch 0), train_loss = 2.459, time/batch = 0.072
121/8920 (epoch 0), train_loss = 2.424, time/batch = 0.070
122/8920 (epoch 0), train_loss = 2.447, time/batch = 0.072
123/8920 (epoch 0), train_loss = 2.413, time/batch = 0.075
124/8920 (epoch 0), train_loss = 2.435, time/batch = 0.075
125/8920 (epoch 0), train_loss = 2.475, time/batch = 0.070
126/8920 (epoch 0), train_loss = 2.438, time/batch = 0.073
127/8920 (epoch 0), train_loss = 2.417, time/batch = 0.073
128/8920 (epoch 0), train_loss = 2.461, time/batch = 0.069
129/8920 (epoch 0), train_loss = 2.385, time/batch = 0.070
130/8920 (epoch 0), train_loss = 2.428, time/batch = 0.071
131/8920 (epoch 0), train_loss = 2.388, time/batch = 0.071
132/8920 (epoch 0), train_loss = 2.445, time/batch = 0.075
133/8920 (epoch 0), train_loss = 2.389, time/batch = 0.069
134/8920 (epoch 0), train_loss = 2.362, time/batch = 0.070
135/8920 (epoch 0), train_loss = 2.407, time/batch = 0.071
136/8920 (epoch 0), train_loss = 2.420, time/batch = 0.073
137/8920 (epoch 0), train_loss = 2.424, time/batch = 0.072
138/8920 (epoch 0), train_loss = 2.408, time/batch = 0.069
139/8920 (epoch 0), train_loss = 2.454, time/batch = 0.071
140/8920 (epoch 0), train_loss = 2.427, time/batch = 0.070
141/8920 (epoch 0), train_loss = 2.430, time/batch = 0.071
142/8920 (epoch 0), train_loss = 2.354, time/batch = 0.070
143/8920 (epoch 0), train_loss = 2.369, time/batch = 0.069
144/8920 (epoch 0), train_loss = 2.382, time/batch = 0.074
145/8920 (epoch 0), train_loss = 2.369, time/batch = 0.071
146/8920 (epoch 0), train_loss = 2.363, time/batch = 0.071
147/8920 (epoch 0), train_loss = 2.354, time/batch = 0.072
148/8920 (epoch 0), train_loss = 2.403, time/batch = 0.069
149/8920 (epoch 0), train_loss = 2.377, time/batch = 0.070
150/8920 (epoch 0), train_loss = 2.352, time/batch = 0.071
151/8920 (epoch 0), train_loss = 2.369, time/batch = 0.072
152/8920 (epoch 0), train_loss = 2.324, time/batch = 0.068
153/8920 (epoch 0), train_loss = 2.368, time/batch = 0.069
154/8920 (epoch 0), train_loss = 2.334, time/batch = 0.072
155/8920 (epoch 0), train_loss = 2.336, time/batch = 0.071
156/8920 (epoch 0), train_loss = 2.310, time/batch = 0.070
157/8920 (epoch 0), train_loss = 2.373, time/batch = 0.073
158/8920 (epoch 0), train_loss = 2.327, time/batch = 0.071
159/8920 (epoch 0), train_loss = 2.332, time/batch = 0.072
160/8920 (epoch 0), train_loss = 2.312, time/batch = 0.070
161/8920 (epoch 0), train_loss = 2.384, time/batch = 0.071
162/8920 (epoch 0), train_loss = 2.337, time/batch = 0.072
163/8920 (epoch 0), train_loss = 2.316, time/batch = 0.071
164/8920 (epoch 0), train_loss = 2.346, time/batch = 0.070
165/8920 (epoch 0), train_loss = 2.344, time/batch = 0.072
166/8920 (epoch 0), train_loss = 2.326, time/batch = 0.072
167/8920 (epoch 0), train_loss = 2.299, time/batch = 0.070
168/8920 (epoch 0), train_loss = 2.325, time/batch = 0.070
169/8920 (epoch 0), train_loss = 2.350, time/batch = 0.070
170/8920 (epoch 0), train_loss = 2.342, time/batch = 0.072
171/8920 (epoch 0), train_loss = 2.353, time/batch = 0.070
172/8920 (epoch 0), train_loss = 2.334, time/batch = 0.073
173/8920 (epoch 0), train_loss = 2.305, time/batch = 0.068
174/8920 (epoch 0), train_loss = 2.321, time/batch = 0.074
175/8920 (epoch 0), train_loss = 2.347, time/batch = 0.069
176/8920 (epoch 0), train_loss = 2.348, time/batch = 0.072
177/8920 (epoch 0), train_loss = 2.323, time/batch = 0.070
178/8920 (epoch 0), train_loss = 2.306, time/batch = 0.071
179/8920 (epoch 0), train_loss = 2.254, time/batch = 0.070
180/8920 (epoch 0), train_loss = 2.288, time/batch = 0.072
181/8920 (epoch 0), train_loss = 2.370, time/batch = 0.070
182/8920 (epoch 0), train_loss = 2.314, time/batch = 0.072
183/8920 (epoch 0), train_loss = 2.311, time/batch = 0.071
184/8920 (epoch 0), train_loss = 2.230, time/batch = 0.072
185/8920 (epoch 0), train_loss = 2.280, time/batch = 0.071
186/8920 (epoch 0), train_loss = 2.272, time/batch = 0.071
187/8920 (epoch 0), train_loss = 2.297, time/batch = 0.071
188/8920 (epoch 0), train_loss = 2.278, time/batch = 0.068
189/8920 (epoch 0), train_loss = 2.205, time/batch = 0.071
190/8920 (epoch 0), train_loss = 2.266, time/batch = 0.070
191/8920 (epoch 0), train_loss = 2.208, time/batch = 0.072
192/8920 (epoch 0), train_loss = 2.269, time/batch = 0.072
193/8920 (epoch 0), train_loss = 2.231, time/batch = 0.070
194/8920 (epoch 0), train_loss = 2.263, time/batch = 0.069
195/8920 (epoch 0), train_loss = 2.251, time/batch = 0.071
196/8920 (epoch 0), train_loss = 2.242, time/batch = 0.073
197/8920 (epoch 0), train_loss = 2.267, time/batch = 0.072
198/8920 (epoch 0), train_loss = 2.309, time/batch = 0.069
199/8920 (epoch 0), train_loss = 2.264, time/batch = 0.072
200/8920 (epoch 0), train_loss = 2.306, time/batch = 0.071
201/8920 (epoch 0), train_loss = 2.276, time/batch = 0.071
202/8920 (epoch 0), train_loss = 2.257, time/batch = 0.071
203/8920 (epoch 0), train_loss = 2.265, time/batch = 0.069
204/8920 (epoch 0), train_loss = 2.249, time/batch = 0.069
205/8920 (epoch 0), train_loss = 2.278, time/batch = 0.072
206/8920 (epoch 0), train_loss = 2.239, time/batch = 0.072
207/8920 (epoch 0), train_loss = 2.260, time/batch = 0.072
208/8920 (epoch 0), train_loss = 2.318, time/batch = 0.068
209/8920 (epoch 0), train_loss = 2.246, time/batch = 0.071
210/8920 (epoch 0), train_loss = 2.244, time/batch = 0.071
211/8920 (epoch 0), train_loss = 2.240, time/batch = 0.070
212/8920 (epoch 0), train_loss = 2.236, time/batch = 0.071
213/8920 (epoch 0), train_loss = 2.263, time/batch = 0.070
214/8920 (epoch 0), train_loss = 2.180, time/batch = 0.070
215/8920 (epoch 0), train_loss = 2.200, time/batch = 0.071
216/8920 (epoch 0), train_loss = 2.251, time/batch = 0.070
217/8920 (epoch 0), train_loss = 2.229, time/batch = 0.071
218/8920 (epoch 0), train_loss = 2.211, time/batch = 0.070
219/8920 (epoch 0), train_loss = 2.227, time/batch = 0.073
220/8920 (epoch 0), train_loss = 2.205, time/batch = 0.071
221/8920 (epoch 0), train_loss = 2.235, time/batch = 0.071
222/8920 (epoch 0), train_loss = 2.216, time/batch = 0.070
223/8920 (epoch 0), train_loss = 2.195, time/batch = 0.072
224/8920 (epoch 0), train_loss = 2.188, time/batch = 0.071
225/8920 (epoch 0), train_loss = 2.182, time/batch = 0.073
226/8920 (epoch 0), train_loss = 2.274, time/batch = 0.073
227/8920 (epoch 0), train_loss = 2.222, time/batch = 0.072
228/8920 (epoch 0), train_loss = 2.232, time/batch = 0.071
229/8920 (epoch 0), train_loss = 2.185, time/batch = 0.069
230/8920 (epoch 0), train_loss = 2.235, time/batch = 0.071
231/8920 (epoch 0), train_loss = 2.233, time/batch = 0.071
232/8920 (epoch 0), train_loss = 2.197, time/batch = 0.071
233/8920 (epoch 0), train_loss = 2.220, time/batch = 0.071
234/8920 (epoch 0), train_loss = 2.194, time/batch = 0.072
235/8920 (epoch 0), train_loss = 2.215, time/batch = 0.070
236/8920 (epoch 0), train_loss = 2.215, time/batch = 0.070
237/8920 (epoch 0), train_loss = 2.199, time/batch = 0.070
238/8920 (epoch 0), train_loss = 2.194, time/batch = 0.070
239/8920 (epoch 0), train_loss = 2.197, time/batch = 0.072
240/8920 (epoch 0), train_loss = 2.191, time/batch = 0.071
241/8920 (epoch 0), train_loss = 2.207, time/batch = 0.071
242/8920 (epoch 0), train_loss = 2.187, time/batch = 0.070
243/8920 (epoch 0), train_loss = 2.192, time/batch = 0.071
244/8920 (epoch 0), train_loss = 2.161, time/batch = 0.071
245/8920 (epoch 0), train_loss = 2.177, time/batch = 0.071
246/8920 (epoch 0), train_loss = 2.178, time/batch = 0.073
247/8920 (epoch 0), train_loss = 2.180, time/batch = 0.071
248/8920 (epoch 0), train_loss = 2.199, time/batch = 0.072
249/8920 (epoch 0), train_loss = 2.164, time/batch = 0.073
250/8920 (epoch 0), train_loss = 2.223, time/batch = 0.069
251/8920 (epoch 0), train_loss = 2.124, time/batch = 0.072
252/8920 (epoch 0), train_loss = 2.204, time/batch = 0.071
253/8920 (epoch 0), train_loss = 2.174, time/batch = 0.071
254/8920 (epoch 0), train_loss = 2.165, time/batch = 0.071
255/8920 (epoch 0), train_loss = 2.168, time/batch = 0.072
256/8920 (epoch 0), train_loss = 2.202, time/batch = 0.070
257/8920 (epoch 0), train_loss = 2.175, time/batch = 0.072
258/8920 (epoch 0), train_loss = 2.203, time/batch = 0.070
259/8920 (epoch 0), train_loss = 2.158, time/batch = 0.069
260/8920 (epoch 0), train_loss = 2.159, time/batch = 0.069
261/8920 (epoch 0), train_loss = 2.133, time/batch = 0.071
262/8920 (epoch 0), train_loss = 2.148, time/batch = 0.070
263/8920 (epoch 0), train_loss = 2.155, time/batch = 0.071
264/8920 (epoch 0), train_loss = 2.159, time/batch = 0.070
265/8920 (epoch 0), train_loss = 2.171, time/batch = 0.073
266/8920 (epoch 0), train_loss = 2.220, time/batch = 0.071
267/8920 (epoch 0), train_loss = 2.162, time/batch = 0.072
268/8920 (epoch 0), train_loss = 2.110, time/batch = 0.072
269/8920 (epoch 0), train_loss = 2.151, time/batch = 0.072
270/8920 (epoch 0), train_loss = 2.150, time/batch = 0.071
271/8920 (epoch 0), train_loss = 2.203, time/batch = 0.072
272/8920 (epoch 0), train_loss = 2.131, time/batch = 0.071
273/8920 (epoch 0), train_loss = 2.162, time/batch = 0.071
274/8920 (epoch 0), train_loss = 2.136, time/batch = 0.071
275/8920 (epoch 0), train_loss = 2.162, time/batch = 0.070
276/8920 (epoch 0), train_loss = 2.138, time/batch = 0.071
277/8920 (epoch 0), train_loss = 2.168, time/batch = 0.071
278/8920 (epoch 0), train_loss = 2.166, time/batch = 0.070
279/8920 (epoch 0), train_loss = 2.181, time/batch = 0.070
280/8920 (epoch 0), train_loss = 2.103, time/batch = 0.071
281/8920 (epoch 0), train_loss = 2.161, time/batch = 0.070
282/8920 (epoch 0), train_loss = 2.118, time/batch = 0.072
283/8920 (epoch 0), train_loss = 2.160, time/batch = 0.071
284/8920 (epoch 0), train_loss = 2.140, time/batch = 0.071
285/8920 (epoch 0), train_loss = 2.140, time/batch = 0.071
286/8920 (epoch 0), train_loss = 2.104, time/batch = 0.071
287/8920 (epoch 0), train_loss = 2.159, time/batch = 0.070
288/8920 (epoch 0), train_loss = 2.161, time/batch = 0.071
289/8920 (epoch 0), train_loss = 2.129, time/batch = 0.071
290/8920 (epoch 0), train_loss = 2.104, time/batch = 0.072
291/8920 (epoch 0), train_loss = 2.134, time/batch = 0.071
292/8920 (epoch 0), train_loss = 2.077, time/batch = 0.073
293/8920 (epoch 0), train_loss = 2.132, time/batch = 0.071
294/8920 (epoch 0), train_loss = 2.160, time/batch = 0.071
295/8920 (epoch 0), train_loss = 2.140, time/batch = 0.070
296/8920 (epoch 0), train_loss = 2.188, time/batch = 0.069
297/8920 (epoch 0), train_loss = 2.091, time/batch = 0.071
298/8920 (epoch 0), train_loss = 2.154, time/batch = 0.074
299/8920 (epoch 0), train_loss = 2.033, time/batch = 0.072
300/8920 (epoch 0), train_loss = 2.066, time/batch = 0.071
301/8920 (epoch 0), train_loss = 2.146, time/batch = 0.071
302/8920 (epoch 0), train_loss = 2.068, time/batch = 0.071
303/8920 (epoch 0), train_loss = 2.046, time/batch = 0.070
304/8920 (epoch 0), train_loss = 2.139, time/batch = 0.072
305/8920 (epoch 0), train_loss = 2.130, time/batch = 0.071
306/8920 (epoch 0), train_loss = 2.058, time/batch = 0.069
307/8920 (epoch 0), train_loss = 2.115, time/batch = 0.073
308/8920 (epoch 0), train_loss = 2.163, time/batch = 0.071
309/8920 (epoch 0), train_loss = 2.115, time/batch = 0.073
310/8920 (epoch 0), train_loss = 2.089, time/batch = 0.071
311/8920 (epoch 0), train_loss = 2.154, time/batch = 0.069
312/8920 (epoch 0), train_loss = 2.119, time/batch = 0.074
313/8920 (epoch 0), train_loss = 2.114, time/batch = 0.071
314/8920 (epoch 0), train_loss = 2.063, time/batch = 0.069
315/8920 (epoch 0), train_loss = 2.114, time/batch = 0.071
316/8920 (epoch 0), train_loss = 2.130, time/batch = 0.073
317/8920 (epoch 0), train_loss = 2.123, time/batch = 0.069
318/8920 (epoch 0), train_loss = 2.086, time/batch = 0.072
319/8920 (epoch 0), train_loss = 2.094, time/batch = 0.073
320/8920 (epoch 0), train_loss = 2.069, time/batch = 0.072
321/8920 (epoch 0), train_loss = 2.073, time/batch = 0.071
322/8920 (epoch 0), train_loss = 2.075, time/batch = 0.070
323/8920 (epoch 0), train_loss = 2.085, time/batch = 0.070
324/8920 (epoch 0), train_loss = 2.088, time/batch = 0.072
325/8920 (epoch 0), train_loss = 2.077, time/batch = 0.072
326/8920 (epoch 0), train_loss = 2.043, time/batch = 0.072
327/8920 (epoch 0), train_loss = 2.043, time/batch = 0.069
328/8920 (epoch 0), train_loss = 2.107, time/batch = 0.070
329/8920 (epoch 0), train_loss = 2.042, time/batch = 0.070
330/8920 (epoch 0), train_loss = 2.065, time/batch = 0.070
331/8920 (epoch 0), train_loss = 2.114, time/batch = 0.071
332/8920 (epoch 0), train_loss = 2.087, time/batch = 0.069
333/8920 (epoch 0), train_loss = 2.037, time/batch = 0.071
334/8920 (epoch 0), train_loss = 2.071, time/batch = 0.072
335/8920 (epoch 0), train_loss = 2.057, time/batch = 0.070
336/8920 (epoch 0), train_loss = 2.065, time/batch = 0.071
337/8920 (epoch 0), train_loss = 2.064, time/batch = 0.071
338/8920 (epoch 0), train_loss = 2.122, time/batch = 0.073
339/8920 (epoch 0), train_loss = 2.032, time/batch = 0.071
340/8920 (epoch 0), train_loss = 2.082, time/batch = 0.070
341/8920 (epoch 0), train_loss = 2.001, time/batch = 0.069
342/8920 (epoch 0), train_loss = 2.085, time/batch = 0.070
343/8920 (epoch 0), train_loss = 2.049, time/batch = 0.070
344/8920 (epoch 0), train_loss = 1.999, time/batch = 0.071
345/8920 (epoch 0), train_loss = 2.108, time/batch = 0.072
346/8920 (epoch 0), train_loss = 2.068, time/batch = 0.070
347/8920 (epoch 0), train_loss = 2.102, time/batch = 0.072
348/8920 (epoch 0), train_loss = 2.034, time/batch = 0.072
349/8920 (epoch 0), train_loss = 2.113, time/batch = 0.071
350/8920 (epoch 0), train_loss = 2.104, time/batch = 0.073
351/8920 (epoch 0), train_loss = 2.063, time/batch = 0.071
352/8920 (epoch 0), train_loss = 2.021, time/batch = 0.069
353/8920 (epoch 0), train_loss = 1.994, time/batch = 0.070
354/8920 (epoch 0), train_loss = 1.995, time/batch = 0.070
355/8920 (epoch 0), train_loss = 2.066, time/batch = 0.072
356/8920 (epoch 0), train_loss = 2.064, time/batch = 0.073
357/8920 (epoch 0), train_loss = 2.077, time/batch = 0.071
358/8920 (epoch 0), train_loss = 2.016, time/batch = 0.070
359/8920 (epoch 0), train_loss = 2.006, time/batch = 0.071
360/8920 (epoch 0), train_loss = 2.057, time/batch = 0.072
361/8920 (epoch 0), train_loss = 1.996, time/batch = 0.071
362/8920 (epoch 0), train_loss = 2.021, time/batch = 0.071
363/8920 (epoch 0), train_loss = 2.040, time/batch = 0.070
364/8920 (epoch 0), train_loss = 2.034, time/batch = 0.072
365/8920 (epoch 0), train_loss = 2.048, time/batch = 0.071
366/8920 (epoch 0), train_loss = 2.041, time/batch = 0.074
367/8920 (epoch 0), train_loss = 2.021, time/batch = 0.072
368/8920 (epoch 0), train_loss = 2.033, time/batch = 0.069
369/8920 (epoch 0), train_loss = 2.032, time/batch = 0.071
370/8920 (epoch 0), train_loss = 2.142, time/batch = 0.071
371/8920 (epoch 0), train_loss = 2.026, time/batch = 0.071
372/8920 (epoch 0), train_loss = 2.048, time/batch = 0.072
373/8920 (epoch 0), train_loss = 2.062, time/batch = 0.070
374/8920 (epoch 0), train_loss = 2.027, time/batch = 0.073
375/8920 (epoch 0), train_loss = 2.039, time/batch = 0.072
376/8920 (epoch 0), train_loss = 2.045, time/batch = 0.071
377/8920 (epoch 0), train_loss = 1.995, time/batch = 0.070
378/8920 (epoch 0), train_loss = 2.038, time/batch = 0.070
379/8920 (epoch 0), train_loss = 2.058, time/batch = 0.070
380/8920 (epoch 0), train_loss = 2.016, time/batch = 0.072
381/8920 (epoch 0), train_loss = 2.041, time/batch = 0.071
382/8920 (epoch 0), train_loss = 2.071, time/batch = 0.070
383/8920 (epoch 0), train_loss = 2.076, time/batch = 0.069
384/8920 (epoch 0), train_loss = 2.022, time/batch = 0.070
385/8920 (epoch 0), train_loss = 2.064, time/batch = 0.070
386/8920 (epoch 0), train_loss = 2.053, time/batch = 0.073
387/8920 (epoch 0), train_loss = 2.018, time/batch = 0.072
388/8920 (epoch 0), train_loss = 2.066, time/batch = 0.071
389/8920 (epoch 0), train_loss = 2.004, time/batch = 0.070
390/8920 (epoch 0), train_loss = 2.007, time/batch = 0.071
391/8920 (epoch 0), train_loss = 2.061, time/batch = 0.072
392/8920 (epoch 0), train_loss = 2.063, time/batch = 0.071
393/8920 (epoch 0), train_loss = 2.047, time/batch = 0.071
394/8920 (epoch 0), train_loss = 1.990, time/batch = 0.069
395/8920 (epoch 0), train_loss = 2.034, time/batch = 0.072
396/8920 (epoch 0), train_loss = 2.003, time/batch = 0.072
397/8920 (epoch 0), train_loss = 1.969, time/batch = 0.071
398/8920 (epoch 0), train_loss = 1.998, time/batch = 0.073
399/8920 (epoch 0), train_loss = 1.959, time/batch = 0.071
400/8920 (epoch 0), train_loss = 2.053, time/batch = 0.071
401/8920 (epoch 0), train_loss = 2.017, time/batch = 0.072
402/8920 (epoch 0), train_loss = 2.021, time/batch = 0.072
403/8920 (epoch 0), train_loss = 2.037, time/batch = 0.071
404/8920 (epoch 0), train_loss = 2.021, time/batch = 0.069
405/8920 (epoch 0), train_loss = 2.017, time/batch = 0.072
406/8920 (epoch 0), train_loss = 2.041, time/batch = 0.071
407/8920 (epoch 0), train_loss = 1.990, time/batch = 0.072
408/8920 (epoch 0), train_loss = 2.065, time/batch = 0.073
409/8920 (epoch 0), train_loss = 2.017, time/batch = 0.071
410/8920 (epoch 0), train_loss = 2.037, time/batch = 0.069
411/8920 (epoch 0), train_loss = 1.984, time/batch = 0.072
412/8920 (epoch 0), train_loss = 2.016, time/batch = 0.072
413/8920 (epoch 0), train_loss = 2.003, time/batch = 0.070
414/8920 (epoch 0), train_loss = 1.985, time/batch = 0.072
415/8920 (epoch 0), train_loss = 1.999, time/batch = 0.071
416/8920 (epoch 0), train_loss = 1.999, time/batch = 0.069
417/8920 (epoch 0), train_loss = 1.954, time/batch = 0.071
418/8920 (epoch 0), train_loss = 2.001, time/batch = 0.071
419/8920 (epoch 0), train_loss = 2.007, time/batch = 0.071
420/8920 (epoch 0), train_loss = 1.998, time/batch = 0.069
421/8920 (epoch 0), train_loss = 1.996, time/batch = 0.073
422/8920 (epoch 0), train_loss = 2.036, time/batch = 0.072
423/8920 (epoch 0), train_loss = 2.039, time/batch = 0.071
424/8920 (epoch 0), train_loss = 2.028, time/batch = 0.071
425/8920 (epoch 0), train_loss = 1.960, time/batch = 0.070
426/8920 (epoch 0), train_loss = 2.031, time/batch = 0.071
427/8920 (epoch 0), train_loss = 2.003, time/batch = 0.072
428/8920 (epoch 0), train_loss = 1.996, time/batch = 0.071
429/8920 (epoch 0), train_loss = 2.006, time/batch = 0.070
430/8920 (epoch 0), train_loss = 1.969, time/batch = 0.071
431/8920 (epoch 0), train_loss = 2.036, time/batch = 0.070
432/8920 (epoch 0), train_loss = 2.002, time/batch = 0.070
433/8920 (epoch 0), train_loss = 2.022, time/batch = 0.072
434/8920 (epoch 0), train_loss = 1.972, time/batch = 0.073
